Pos,artist,title,Total,country
4,Aron Can ,Fullir Vasar,1712793,ISL
5,Post Malone ,rockstar,1590618,ISL
6,Chase ,Ég Vil Það,1557643,ISL
7,Kaleo ,Vor í Vaglaskógi,1475169,ISL
8,Birnir ,Já ég veit,1459628,ISL
9,JóiPé ,O Shit,1444151,ISL
10,Drake ,One Dance,1407139,ISL
1,Ed Sheeran ,Shape of You,27245352,IDN
2,Ed Sheeran ,Perfect,25425685,IDN
3,The Chainsmokers ,Closer,23296464,IDN
4,The Chainsmokers ,Something Just Like This,22558264,IDN
5,Camila Cabello ,Havana,22520185,IDN
6,Dua Lipa ,New Rules,21223942,IDN
7,James Arthur ,Say You Won't Let Go,21142465,IDN
8,Charlie Puth ,Attention,20631655,IDN
9,Payung Teduh ,Akad,20278276,IDN
10,Imagine Dragons ,Thunder,18967663,IDN
1,Ed Sheeran ,Shape of You,14574594,IRL
2,Drake ,One Dance,11296551,IRL
3,Luis Fonsi ,Despacito ,10262097,IRL
4,Dua Lipa ,New Rules,10257159,IRL
5,Ed Sheeran ,Castle on the Hill,8978430,IRL
6,Post Malone ,rockstar,8971857,IRL
7,French Montana ,Unforgettable,8873973,IRL
8,Camila Cabello ,Havana,8855606,IRL
9,James Arthur ,Say You Won't Let Go,8437683,IRL
10,Mike Posner ,I Took A Pill In Ibiza ,8216800,IRL
1,Marshmello ,FRIENDS,876582,ISR
2,Omer Adam ,שני משוגעים,846023,ISR
3,Cardi B ,I Like It,84447,ISR
4,Omer Adam ,חברות שלך,837199,ISR
5,Drake ,God's Plan,830732,ISR
6,Maroon 5 ,Girls Like You,827065,ISR
7,Calvin Harris ,One Kiss,825304,ISR
8,Dua Lipa ,IDGAF,804767,ISR
9,Drake ,In My Feelings,748627,ISR
10,Drake ,Nice For What,687682,ISR
1,Ed Sheeran ,Shape of You,50419008,ITA
2,Sfera Ebbasta ,Cupido,50225602,ITA
